"","firm","employee","Executive Investor","Executive Non-Investor","Non-Executive Investor","Non-Executive Non-Investor","Female","Male","White","Black","Asian/Indian","Latino/a","Other Non-White","White & Female","White & Male","Black & Female","Black & Male","Asian/Indian & Female","Asian/Indian & Male","Latina","Latino","Other Non-White & Female","Other Non-White & Male","Size of Most Recent Fund ($MM)","Size of Most Recent Fund ($MM) Grouping","VC Firm","Angel Group","Family Office","Other","Industry Focus - Tech","Industry Focus - Consumer","Industry Focus - General","Industry Focus - Other","Main Focus Midwest?","First Time Fund?","gender"
"1","Firm 1","Employee 1",1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"15","$5-$15",0,1,0,0,1,0,1,0,0,1,"Female"
"2","Firm 1","Employee 2",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"15","$5-$15",0,1,0,0,1,0,1,0,0,1,"Female"
"3","Firm 1","Employee 3",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"15","$5-$15",0,1,0,0,1,0,1,0,0,1,"Female"
"4","Firm 1","Employee 4",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"15","$5-$15",0,1,0,0,1,0,1,0,0,1,"Female"
"5","Firm 1","Employee 5",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"15","$5-$15",0,1,0,0,1,0,1,0,0,1,"Female"
"6","Firm 1","Employee 6",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"15","$5-$15",0,1,0,0,1,0,1,0,0,1,"Female"
"7","Firm 1","Employee 7",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"15","$5-$15",0,1,0,0,1,0,1,0,0,1,"Female"
"8","Firm 2","Employee 1",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"66.04","$15.1-$99",1,0,0,0,1,0,0,0,1,0,"Male"
"9","Firm 2","Employee 2",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"66.04","$15.1-$99",1,0,0,0,1,0,0,0,1,0,"Female"
"10","Firm 2","Employee 3",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"66.04","$15.1-$99",1,0,0,0,1,0,0,0,1,0,"Male"
