"","firm","employee","Executive Investor","Executive Non-Investor","Non-Executive Investor","Non-Executive Non-Investor","Female","Male","White","Black","Asian/Indian","Latino/a","Other Non-White","White & Female","White & Male","Black & Female","Black & Male","Asian/Indian & Female","Asian/Indian & Male","Latina","Latino","Other Non-White & Female","Other Non-White & Male","Size of Most Recent Fund ($MM)","Size of Most Recent Fund ($MM) Grouping","VC Firm","Angel Group","Family Office","Other","Industry Focus - Tech","Industry Focus - Consumer","Industry Focus - General","Industry Focus - Other","Main Focus Midwest?","First Time Fund?"
"1","Firm 1","Employee 1",1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"15","$5-$15",0,1,0,0,1,0,1,0,0,1
"2","Firm 1","Employee 2",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"15","$5-$15",0,1,0,0,1,0,1,0,0,1
"3","Firm 1","Employee 3",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"15","$5-$15",0,1,0,0,1,0,1,0,0,1
"4","Firm 1","Employee 4",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"15","$5-$15",0,1,0,0,1,0,1,0,0,1
"5","Firm 1","Employee 5",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"15","$5-$15",0,1,0,0,1,0,1,0,0,1
"6","Firm 1","Employee 6",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"15","$5-$15",0,1,0,0,1,0,1,0,0,1
"7","Firm 1","Employee 7",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"15","$5-$15",0,1,0,0,1,0,1,0,0,1
"8","Firm 2","Employee 1",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"66.04","$15.1-$99",1,0,0,0,1,0,0,0,1,0
"9","Firm 2","Employee 2",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"66.04","$15.1-$99",1,0,0,0,1,0,0,0,1,0
"10","Firm 2","Employee 3",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"66.04","$15.1-$99",1,0,0,0,1,0,0,0,1,0
"11","Firm 2","Employee 4",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"66.04","$15.1-$99",1,0,0,0,1,0,0,0,1,0
"12","Firm 2","Employee 5",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"66.04","$15.1-$99",1,0,0,0,1,0,0,0,1,0
"13","Firm 3","Employee 1",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"66.04","$15.1-$99",1,0,0,0,1,0,0,0,1,0
"14","Firm 3","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"66.04","$15.1-$99",1,0,0,0,1,0,0,0,1,0
"15","Firm 3","Employee 3",1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,0,1,0,0,0,0
"16","Firm 3","Employee 4",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,0,1,0,0,0,0
"17","Firm 3","Employee 5",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,0,1,0,0,0,0
"18","Firm 4","Employee 1",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,0,1,0,0,0,0
"19","Firm 4","Employee 2",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,0,1,0,0,0,0
"20","Firm 4","Employee 3",0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,0,1,0,0,0,0
"21","Firm 4","Employee 4",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,1
"22","Firm 4","Employee 5",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,1
"23","Firm 4","Employee 6",0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"310","$100+",1,0,0,0,1,0,0,1,1,0
"24","Firm 4","Employee 7",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"310","$100+",1,0,0,0,1,0,0,1,1,0
"25","Firm 4","Employee 8",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"310","$100+",1,0,0,0,1,0,0,1,1,0
"26","Firm 5","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,1
"27","Firm 5","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,1
"28","Firm 6","Employee 1",0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,1
"29","Firm 6","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"86.42","$15.1-$99",1,0,0,0,1,0,0,1,0,0
"30","Firm 6","Employee 3",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"86.42","$15.1-$99",1,0,0,0,1,0,0,1,0,0
"31","Firm 6","Employee 4",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"86.42","$15.1-$99",1,0,0,0,1,0,0,1,0,0
"32","Firm 6","Employee 5",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"86.42","$15.1-$99",1,0,0,0,1,0,0,1,0,0
"33","Firm 6","Employee 6",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"86.42","$15.1-$99",1,0,0,0,1,0,0,1,0,0
"34","Firm 7","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"86.42","$15.1-$99",1,0,0,0,1,0,0,1,0,0
"35","Firm 7","Employee 2",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"86.42","$15.1-$99",1,0,0,0,1,0,0,1,0,0
"36","Firm 7","Employee 3",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"86.42","$15.1-$99",1,0,0,0,1,0,0,1,0,0
"37","Firm 7","Employee 4",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"86.42","$15.1-$99",1,0,0,0,1,0,0,1,0,0
"38","Firm 7","Employee 5",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"86.42","$15.1-$99",1,0,0,0,1,0,0,1,0,0
"39","Firm 7","Employee 6",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"86.42","$15.1-$99",1,0,0,0,1,0,0,1,0,0
"40","Firm 7","Employee 7",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"408","$100+",1,0,0,0,0,0,0,1,0,0
"41","Firm 7","Employee 8",0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"408","$100+",1,0,0,0,0,0,0,1,0,0
"42","Firm 7","Employee 9",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"408","$100+",1,0,0,0,0,0,0,1,0,0
"43","Firm 8","Employee 1",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"408","$100+",1,0,0,0,0,0,0,1,0,0
"44","Firm 8","Employee 2",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"408","$100+",1,0,0,0,0,0,0,1,0,0
"45","Firm 8","Employee 3",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"408","$100+",1,0,0,0,0,0,0,1,0,0
"46","Firm 8","Employee 4",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"408","$100+",1,0,0,0,0,0,0,1,0,0
"47","Firm 9","Employee 1",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"310","$100+",1,0,0,0,1,0,0,1,1,0
"48","Firm 9","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"310","$100+",1,0,0,0,1,0,0,1,1,0
