"","firm","Size of Most Recent Fund ($MM) Grouping","Executive Investor","Executive Non-Investor","Non-Executive Investor","Non-Executive Non-Investor","Female","Male","White","Black","Asian/Indian","Latino/a","Other Non-White","White & Female","White & Male","Black & Female","Black & Male","Asian/Indian & Female","Asian/Indian & Male","Latina","Latino","Other Non-White & Female","Other Non-White & Male","VC Firm","Angel Group","Family Office","Other","Industry Focus - Tech","Industry Focus - Consumer","Industry Focus - General","Industry Focus - Other","Main Focus Midwest?","First Time Fund?"
"39","Firm 30","$100+",4,0,1,1,2,4,4,1,1,0,0,2,2,0,1,0,1,0,0,0,0,6,0,0,0,0,6,0,0,0,0
"40","Firm 30","$5-$15",3,0,1,0,0,4,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,4
"41","Firm 31","$100+",5,0,4,4,5,8,9,0,3,0,1,3,6,0,0,1,2,0,0,1,0,13,0,0,0,9,4,0,9,0,0
"42","Firm 31","$5-$15",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
"43","Firm 32","$100+",1,0,2,1,1,3,3,1,0,0,0,1,2,0,1,0,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0
"44","Firm 33","$100+",2,1,0,0,2,1,2,0,1,0,0,1,1,0,0,1,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0
"45","Firm 34","$100+",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"46","Firm 35","$100+",1,0,1,1,1,2,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0
"47","Firm 36","$100+",1,0,1,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0
"48","Firm 37","$100+",0,0,1,1,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0
"49","Firm 38","$100+",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"50","Firm 39","$100+",2,0,1,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0
"51","Firm 4","$100+",2,0,3,0,2,3,4,0,1,0,0,1,3,0,0,1,0,0,0,0,0,5,0,0,0,5,0,0,3,3,2
"52","Firm 4","N/A",0,1,2,0,1,2,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0
"53","Firm 40","$5-$15",2,0,0,0,0,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0
"54","Firm 40","N/A",2,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,2
"55","Firm 41","N/A",2,0,2,1,2,3,5,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,3,1,3,1,1,0,4,1
"56","Firm 42","$15.1-$99",1,0,3,0,2,2,2,0,2,0,0,1,1,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,4,0,4
"57","Firm 42","N/A",2,0,1,1,2,2,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,0,1,0
"58","Firm 43","$15.1-$99",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
"59","Firm 43","N/A",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"60","Firm 44","N/A",2,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0
"61","Firm 45","N/A",1,0,2,0,1,2,2,0,1,0,0,0,2,0,0,1,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0
"62","Firm 46","N/A",1,0,1,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0
"63","Firm 47","$15.1-$99",1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
"64","Firm 47","N/A",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
"65","Firm 48","$15.1-$99",0,0,2,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,2,0
"66","Firm 49","$15.1-$99",0,0,1,1,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,2,0
