"","firm","employee","Executive Investor","Executive Non-Investor","Non-Executive Investor","Non-Executive Non-Investor","Female","Male","White","Black","Asian/Indian","Latino/a","Other Non-White","White & Female","White & Male","Black & Female","Black & Male","Asian/Indian & Female","Asian/Indian & Male","Latina","Latino","Other Non-White & Female","Other Non-White & Male","Size of Most Recent Fund ($MM)","Size of Most Recent Fund ($MM) Grouping","VC Firm","Angel Group","Family Office","Other","Industry Focus - Tech","Industry Focus - Consumer","Industry Focus - General","Industry Focus - Other","Main Focus Midwest?","First Time Fund?","type"
"92","Firm 15","Employee 9",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"91","$15.1-$99",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"93","Firm 15","Employee 10",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"91","$15.1-$99",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"94","Firm 15","Employee 11",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"91","$15.1-$99",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"95","Firm 15","Employee 12",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"91","$15.1-$99",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"96","Firm 15","Employee 13",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"91","$15.1-$99",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"97","Firm 15","Employee 14",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0,"Family Office"
"98","Firm 15","Employee 15",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0,"Family Office"
"99","Firm 15","Employee 16",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,1,0,0,0,1,0,"Angel Group"
"100","Firm 15","Employee 17",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,1,0,0,0,1,0,"Angel Group"
"101","Firm 15","Employee 18",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,1,0,0,0,1,0,"Angel Group"
"102","Firm 15","Employee 19",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,1,0,0,0,1,0,"Angel Group"
"103","Firm 15","Employee 20",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,1,0,0,0,1,0,"Angel Group"
"104","Firm 15","Employee 21",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"65","$15.1-$99",1,0,0,0,1,0,0,0,1,0,"VC Firm"
"105","Firm 15","Employee 22",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"65","$15.1-$99",1,0,0,0,1,0,0,0,1,0,"VC Firm"
"106","Firm 15","Employee 23",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"65","$15.1-$99",1,0,0,0,1,0,0,0,1,0,"VC Firm"
"107","Firm 15","Employee 24",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"65","$15.1-$99",1,0,0,0,1,0,0,0,1,0,"VC Firm"
"108","Firm 15","Employee 25",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"65","$15.1-$99",1,0,0,0,1,0,0,0,1,0,"VC Firm"
"109","Firm 15","Employee 26",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"65","$15.1-$99",1,0,0,0,1,0,0,0,1,0,"VC Firm"
"110","Firm 15","Employee 27",0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"65","$15.1-$99",1,0,0,0,1,0,0,0,1,0,"VC Firm"
"111","Firm 15","Employee 28",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"65","$15.1-$99",1,0,0,0,1,0,0,0,1,0,"VC Firm"
"112","Firm 16","Employee 1",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"65","$15.1-$99",1,0,0,0,1,0,0,0,1,0,"VC Firm"
"113","Firm 16","Employee 2",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"10","$5-$15",1,0,0,0,1,0,0,1,0,0,"VC Firm"
