"","firm","employee","Executive Investor","Executive Non-Investor","Non-Executive Investor","Non-Executive Non-Investor","Female","Male","White","Black","Asian/Indian","Latino/a","Other Non-White","White & Female","White & Male","Black & Female","Black & Male","Asian/Indian & Female","Asian/Indian & Male","Latina","Latino","Other Non-White & Female","Other Non-White & Male","Size of Most Recent Fund ($MM)","Size of Most Recent Fund ($MM) Grouping","VC Firm","Angel Group","Family Office","Other","Industry Focus - Tech","Industry Focus - Consumer","Industry Focus - General","Industry Focus - Other","Main Focus Midwest?","First Time Fund?","type"
"192","Firm 31","Employee 12",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"115","$100+",1,0,0,0,1,0,0,1,0,0,"VC Firm"
"193","Firm 31","Employee 13",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0,"VC Firm"
"194","Firm 31","Employee 14",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0,"VC Firm"
"195","Firm 32","Employee 1",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0,"VC Firm"
"196","Firm 32","Employee 2",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0,"VC Firm"
"197","Firm 32","Employee 3",0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0,"VC Firm"
"198","Firm 32","Employee 4",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0,"VC Firm"
"199","Firm 33","Employee 1",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0,"VC Firm"
"200","Firm 33","Employee 2",0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0,"VC Firm"
"201","Firm 33","Employee 3",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0,"VC Firm"
"202","Firm 34","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0,"VC Firm"
"203","Firm 35","Employee 1",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0,"VC Firm"
"204","Firm 35","Employee 2",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0,"VC Firm"
"205","Firm 35","Employee 3",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0,"VC Firm"
"206","Firm 36","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0,"VC Firm"
"207","Firm 36","Employee 2",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0,"VC Firm"
"208","Firm 37","Employee 1",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0,"VC Firm"
"209","Firm 37","Employee 2",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0,"VC Firm"
"210","Firm 38","Employee 1",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0,"VC Firm"
"211","Firm 39","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0,"VC Firm"
"212","Firm 39","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0,"VC Firm"
"213","Firm 39","Employee 3",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"115","$100+",1,0,0,0,1,0,0,1,0,0,"VC Firm"
"214","Firm 40","Employee 1",1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"7.7","$5-$15",1,0,0,0,0,0,1,0,0,0,"VC Firm"
"215","Firm 40","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"7.7","$5-$15",1,0,0,0,0,0,1,0,0,0,"VC Firm"
"216","Firm 40","Employee 3",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,0,1,0,1,0,0,1,1,"Other"
"217","Firm 40","Employee 4",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,0,1,0,1,0,0,1,1,"Other"
"218","Firm 41","Employee 1",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,0,1,0,1,0,0,1,1,"Other"
"219","Firm 41","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,1,0,0,0,1,0,"Family Office"
"220","Firm 41","Employee 3",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,1,0,0,0,1,0,"Family Office"
"221","Firm 41","Employee 4",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,1,0,0,0,1,0,"Family Office"
"222","Firm 41","Employee 5",1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,0,0,1,0,0,0,"Angel Group"
"223","Firm 42","Employee 1",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,0,0,1,0,0,0,"Angel Group"
"224","Firm 42","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,0,0,1,0,1,0,"Angel Group"
"225","Firm 42","Employee 3",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,0,1,1,0,0,0,0,0,"Other"
"226","Firm 42","Employee 4",1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,0,1,1,0,0,0,0,0,"Other"
"227","Firm 42","Employee 5",1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"22.5","$15.1-$99",1,0,0,0,0,0,0,1,0,1,"VC Firm"
"228","Firm 42","Employee 6",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"22.5","$15.1-$99",1,0,0,0,0,0,0,1,0,1,"VC Firm"
"229","Firm 42","Employee 7",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"22.5","$15.1-$99",1,0,0,0,0,0,0,1,0,1,"VC Firm"
"230","Firm 42","Employee 8",0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"22.5","$15.1-$99",1,0,0,0,0,0,0,1,0,1,"VC Firm"
"231","Firm 43","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"22.5","$15.1-$99",1,0,0,0,0,0,0,1,0,1,"VC Firm"
"232","Firm 43","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,0,0,0,1,0,0,"VC Firm"
"233","Firm 44","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,0,0,0,1,0,0,"VC Firm"
"234","Firm 44","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"235","Firm 45","Employee 1",0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"236","Firm 45","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,1,0,0,0,0,0,"Angel Group"
"237","Firm 45","Employee 3",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,1,0,0,0,0,0,"Angel Group"
"238","Firm 46","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,0,0,1,0,1,0,"Angel Group"
"239","Firm 46","Employee 2",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,0,0,1,0,1,0,"Angel Group"
"240","Firm 47","Employee 1",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,0,0,1,0,1,0,"Angel Group"
"241","Firm 47","Employee 2",1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"15.2","$15.1-$99",1,0,0,0,1,0,0,1,1,0,"VC Firm"
"242","Firm 48","Employee 1",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"15.2","$15.1-$99",1,0,0,0,1,0,0,1,1,0,"VC Firm"
"243","Firm 48","Employee 2",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"15.2","$15.1-$99",1,0,0,0,1,0,0,1,1,0,"VC Firm"
"244","Firm 49","Employee 1",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"15.2","$15.1-$99",1,0,0,0,1,0,0,1,1,0,"VC Firm"
"245","Firm 49","Employee 2",0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"15.2","$15.1-$99",1,0,0,0,1,0,0,1,1,0,"VC Firm"
"246","Firm 49","Employee 3",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"11","$5-$15",1,0,0,0,0,0,0,1,0,1,"VC Firm"
"247","Firm 49","Employee 4",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"11","$5-$15",1,0,0,0,0,0,0,1,0,1,"VC Firm"
"248","Firm 50","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"11","$5-$15",1,0,0,0,0,0,0,1,0,1,"VC Firm"
"249","Firm 51","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"11","$5-$15",1,0,0,0,0,0,0,1,0,1,"VC Firm"
"250","Firm 51","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"150","$100+",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"251","Firm 51","Employee 3",1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"150","$100+",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"252","Firm 52","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"150","$100+",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"253","Firm 52","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"150","$100+",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"254","Firm 52","Employee 3",0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"150","$100+",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"255","Firm 52","Employee 4",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"150","$100+",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"256","Firm 52","Employee 5",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"150","$100+",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"257","Firm 52","Employee 6",0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"150","$100+",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"258","Firm 52","Employee 7",0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"150","$100+",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"259","Firm 53","Employee 1",1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,1,"VC Firm"
"260","Firm 53","Employee 2",1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,1,"VC Firm"
"261","Firm 53","Employee 3",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"262","Firm 53","Employee 4",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"263","Firm 53","Employee 5",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"264","Firm 53","Employee 6",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"265","Firm 53","Employee 7",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"266","Firm 53","Employee 8",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"267","Firm 54","Employee 1",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"268","Firm 55","Employee 1",0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"269","Firm 55","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"15.9","$15.1-$99",1,0,0,0,0,1,0,0,0,0,"VC Firm"
"270","Firm 55","Employee 3",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"15.9","$15.1-$99",1,0,0,0,0,1,0,0,0,0,"VC Firm"
"271","Firm 56","Employee 1",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"15.9","$15.1-$99",1,0,0,0,0,1,0,0,0,0,"VC Firm"
"272","Firm 56","Employee 2",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"15.9","$15.1-$99",1,0,0,0,0,1,0,0,0,0,"VC Firm"
"273","Firm 56","Employee 3",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,1,1,"VC Firm"
"274","Firm 57","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,1,1,"VC Firm"
"275","Firm 57","Employee 2",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,1,1,"VC Firm"
"276","Firm 57","Employee 3",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,1,1,"VC Firm"
"277","Firm 57","Employee 4",0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,1,1,"VC Firm"
"278","Firm 57","Employee 5",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,1,1,"VC Firm"
"279","Firm 57","Employee 6",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,1,1,"VC Firm"
"280","Firm 57","Employee 7",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,1,1,"VC Firm"
"281","Firm 57","Employee 8",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"282","Firm 57","Employee 9",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"283","Firm 57","Employee 10",1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"284","Firm 57","Employee 11",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"285","Firm 57","Employee 12",1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"42.7","$15.1-$99",1,0,0,0,1,0,0,0,0,1,"VC Firm"
"286","Firm 57","Employee 13",1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"42.7","$15.1-$99",1,0,0,0,1,0,0,0,0,1,"VC Firm"
"287","Firm 57","Employee 14",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"42.7","$15.1-$99",1,0,0,0,1,0,0,0,0,1,"VC Firm"
"288","Firm 58","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,1,1,"VC Firm"
"289","Firm 58","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,1,0,"VC Firm"
"290","Firm 59","Employee 1",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,1,0,"VC Firm"
"291","Firm 59","Employee 2",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,1,0,"VC Firm"
"292","Firm 60","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"293","Firm 61","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"294","Firm 61","Employee 2",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"295","Firm 62","Employee 1",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"296","Firm 62","Employee 2",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"297","Firm 62","Employee 3",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,0,0,0,1,0,1,"VC Firm"
"298","Firm 62","Employee 4",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,0,0,0,1,0,1,"VC Firm"
"299","Firm 62","Employee 5",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,1,0,1,0,0,"VC Firm"
"300","Firm 63","Employee 1",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,1,0,1,0,0,"VC Firm"
"301","Firm 63","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,1,0,0,0,0,0,"Family Office"
"302","Firm 63","Employee 3",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"N/A","N/A",0,0,1,0,1,0,0,0,0,0,"Family Office"
"303","Firm 63","Employee 4",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"304","Firm 63","Employee 5",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"305","Firm 63","Employee 6",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"306","Firm 63","Employee 7",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,0,1,0,0,0,1,"VC Firm"
"307","Firm 63","Employee 8",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,0,1,0,0,0,1,"VC Firm"
"308","Firm 63","Employee 9",1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,0,1,0,0,0,1,"VC Firm"
"309","Firm 63","Employee 10",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,1,"VC Firm"
"310","Firm 63","Employee 11",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,0,0,1,0,1,0,"Angel Group"
"311","Firm 64","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"312","Firm 64","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"313","Firm 64","Employee 3",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,0,1,0,0,1,0,1,0,"Other"
"314","Firm 64","Employee 4",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,0,1,0,0,1,0,1,0,"Other"
"315","Firm 64","Employee 5",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,1,0,0,1,0,0,"Angel Group"
"316","Firm 65","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,1,0,0,1,0,0,"Angel Group"
"317","Firm 65","Employee 2",0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,1,0,0,1,0,0,"Angel Group"
"318","Firm 65","Employee 3",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,1,0,0,1,0,0,"Angel Group"
"319","Firm 65","Employee 4",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,1,0,0,1,0,0,"Angel Group"
"320","Firm 65","Employee 5",0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,1,0,0,1,0,0,"Angel Group"
"321","Firm 66","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0,"Family Office"
"322","Firm 66","Employee 2",0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0,"Family Office"
"323","Firm 67","Employee 1",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0,"Family Office"
"324","Firm 67","Employee 2",0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0,"Family Office"
"325","Firm 67","Employee 3",0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0,"Family Office"
"326","Firm 67","Employee 4",0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0,"Family Office"
"327","Firm 67","Employee 5",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0,"Family Office"
"328","Firm 68","Employee 1",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0,"Family Office"
"329","Firm 68","Employee 2",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0,"Family Office"
"330","Firm 68","Employee 3",0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0,"Family Office"
"331","Firm 68","Employee 4",0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0,"Family Office"
"332","Firm 68","Employee 5",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0,"Family Office"
"333","Firm 68","Employee 6",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"7","$5-$15",1,0,0,0,1,0,0,0,0,1,"VC Firm"
"334","Firm 69","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"7","$5-$15",1,0,0,0,1,0,0,0,0,1,"VC Firm"
"335","Firm 69","Employee 2",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"N/A","N/A",0,1,0,0,1,1,0,1,1,0,"Angel Group"
"336","Firm 69","Employee 3",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,1,1,0,1,1,0,"Angel Group"
"337","Firm 69","Employee 4",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,1,1,0,1,1,0,"Angel Group"
